,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
35,Chile,CHL,3.2,Medium,97.0,-163.1,3.3,5.5,9.6,5.5,8.6,0.0,2.7,0.3,2.5,0.1,0.2,0.0,3.6,1.4,0.9,3.8,0.1,5.3,7.9,0.5,0.3,0.2,1.6,0.7,2.7,3.4,3.2,3.5,1.9,1.2,2.7,1.9,9.0,0.18,-31.03,1,0
36,China,CHN,3.0,Low,110.0,-162.2,5.5,7.8,6.7,9.3,9.0,7.8,9.0,4.6,5.5,1.7,2.4,0.0,1.6,2.6,3.6,3.0,0.0,0.4,0.1,0.3,0.5,0.6,0.9,0.6,3.2,3.5,2.5,4.4,2.8,1.8,3.6,2.9,9.0,0.18,-30.86,1,0
37,Colombia,COL,5.3,High,29.0,-149.9,6.7,6.3,8.8,6.9,8.1,4.0,6.2,1.4,5.4,7.0,9.7,7.0,6.2,3.9,4.0,6.2,1.2,7.7,10.0,0.7,0.9,0.3,1.5,0.9,3.5,4.3,3.0,5.6,2.7,1.6,3.4,3.2,4.0,0.08,-28.3,0,1
38,Comoros,COM,3.3,Medium,94.0,-147.7,1.1,2.0,0.1,0.0,1.9,1.4,2.9,0.0,5.7,0.1,0.2,0.0,4.8,7.0,7.7,5.1,7.3,1.4,0.0,2.0,3.8,0.0,4.2,2.7,7.1,8.1,7.8,8.4,5.9,5.1,5.8,6.9,4.0,0.08,-27.89,1,0
39,Congo,COG,5.0,High,36.0,-142.7,3.0,3.2,0.1,7.5,0.0,0.0,2.1,0.6,6.8,2.8,4.0,0.0,5.7,5.5,7.1,6.8,0.9,5.8,6.3,6.0,3.0,1.5,8.2,5.3,7.5,8.0,4.227814569536424,8.0,7.0,5.8,8.0,7.1,1.0,0.02,-26.81,1,0
40,Congo DR,COD,7.7,Very High,6.0,-143.8,7.2,4.0,4.2,7.0,0.0,0.0,1.0,2.3,8.3,9.0,10.0,9.0,7.9,6.7,8.9,6.2,2.6,8.8,9.4,5.2,5.6,10.0,8.4,8.0,8.0,7.9,7.5,8.2,8.1,6.8,9.6,7.8,2.0,0.04,-27.07,0,1
41,Costa Rica,CRI,3.2,Medium,97.0,-152.6,3.1,5.3,9.1,2.4,8.3,1.3,4.1,1.0,4.9,0.1,0.1,0.0,4.3,2.1,1.5,4.7,0.6,6.0,8.3,0.3,0.6,3.8,1.7,1.7,2.4,3.1,1.5,4.6,1.7,1.2,1.9,2.1,4.0,0.08,-28.81,1,0
42,Côte d'Ivoire,CIV,4.6,Medium,47.0,-142.8,2.2,2.9,0.1,4.7,0.9,0.0,2.1,0.6,7.7,1.4,2.0,0.0,6.5,5.8,8.0,5.7,1.3,7.1,9.1,4.9,4.5,0.0,1.7,3.0,6.6,7.0,7.8,6.2,6.1,3.1,7.4,7.9,0.0,0.0,-26.78,1,0
43,Croatia,HRV,2.4,Low,143.0,-160.4,2.4,4.2,5.6,6.8,5.8,0.0,5.0,1.4,2.1,0.1,0.1,0.0,2.0,1.0,0.8,1.2,1.3,2.9,4.7,0.1,0.4,0.2,1.3,0.5,3.0,4.4,4.4,4.4,1.2,1.7,0.2,1.6,9.0,0.18,-30.52,1,0
44,Cuba,CUB,2.8,Low,124.0,-158.4,2.8,4.8,5.0,0.5,3.2,8.0,5.7,3.3,4.9,0.1,0.1,0.0,2.7,2.3,2.2,4.0,0.8,3.0,0.0,0.4,0.5,10.0,1.3,5.2,2.9,4.0,2.5,5.5,1.6,2.5,1.8,0.5,8.0,0.16,-30.11,1,0
45,Cyprus,CYP,2.6,Low,132.0,-165.6,1.6,3.0,6.9,0.0,4.0,0.0,2.9,2.1,2.9,0.0,0.0,0.0,4.2,0.6,0.1,1.7,0.3,6.6,9.2,0.1,0.2,0.0,2.1,0.6,2.6,4.2,4.227814569536424,4.2,0.7,0.9,0.0,1.2,10.0,0.2,-31.56,1,0
46,Czech Republic,CZE,1.8,Very Low,172.0,-170.2,0.9,1.6,0.5,5.7,0.0,0.0,0.0,1.6,1.9,0.1,0.1,0.0,3.5,0.4,0.2,1.0,0.3,5.7,8.4,0.1,0.2,0.0,1.1,0.4,1.9,3.1,2.5,3.6,0.6,1.4,0.0,0.3,12.0,0.24,-32.51,1,0
47,Denmark,DNK,1.4,Very Low,184.0,-168.9,1.1,2.0,0.1,0.0,0.0,0.0,7.1,1.9,1.8,0.1,0.1,0.0,2.2,0.1,0.0,0.4,0.1,3.9,6.3,0.1,0.3,0.0,1.0,0.4,1.2,1.9,2.7,1.0,0.5,1.3,0.0,0.2,11.0,0.22,-32.21,1,0
48,Djibouti,DJI,4.9,High,37.0,-158.4,3.2,4.7,5.4,0.0,4.9,0.0,4.3,8.5,5.1,1.3,1.8,0.0,5.9,6.1,7.8,4.1,4.7,5.7,6.0,1.9,3.9,8.5,4.7,5.3,6.1,6.2,5.5,6.8,6.0,4.9,5.8,7.3,8.0,0.16,-30.09,1,0
49,Dominica,DMA,3.0,Low,110.0,-192.4,2.1,3.8,3.8,0.0,5.5,7.8,2.0,0.0,3.8,0.0,0.0,0.0,3.1,4.9,3.6,3.8670329670329675,7.4,0.8,0.0,0.2,2.8,0.0,2.5,1.5,4.1,4.9,4.227814569536424,4.9,3.1,2.6,1.0,5.6,19.0,0.37,-36.83,1,0
50,Dominican Republic,DOM,4.1,Medium,65.0,-152.9,4.0,6.5,9.1,2.3,5.1,10.0,4.8,0.0,5.7,0.2,0.3,0.0,4.2,3.1,3.1,4.6,1.6,5.1,6.3,1.4,1.6,7.2,1.6,3.5,4.2,5.3,4.6,5.9,3.0,2.1,2.0,4.9,4.0,0.08,-28.87,1,0
51,Ecuador,ECU,4.7,Medium,45.0,-154.0,5.7,6.5,9.5,6.5,9.0,0.0,4.9,3.4,5.4,4.8,6.9,0.0,4.7,3.1,3.3,5.0,0.9,6.0,8.3,0.4,1.1,1.5,4.1,1.9,3.9,4.5,3.0,5.9,3.3,2.3,3.1,4.5,5.0,0.1,-29.12,1,0
